Operation Name,x,y,Physical Address: City,County Code,County,Mailing Address: ZIP/ Postal Code,County Code,County
North Slope Farm,40.384359,-74.850079,Lambertville,19,Hunterdon County,8530,,
Old Hook Farm,40.978925,-73.996975,Emerson,3,Bergen County,7630,,
Orchard Farm Organics,40.400699,-74.683257,Princeton,35,Somerset County,8540,,
Our Father's Farm,39.803673,-74.648611,Tarbenacle,5,Burlington County,8088,,
Pleasantdale Farms Inc.,39.636421,-74.749411,Hammonton,1,Atlantic County,8037,,
Profeta Farms LLC,40.533664,-74.778518,Neshanic Station,,,8853,,
Puglisi Egg Farm,40.144002,-74.161677,Howell,25,Monmouth County,7731,,
Readington Farms Inc.,40.624869,-74.759188,Whitehouse Station,,,8889,,
Regina's Certified Organic Vegetable Farm,40.145601,-74.170098,Howell,25,Monmouth County,7731,,
Rockywood Farm,41.052311,-74.753139,Newton,37,Sussex County,6420,,
Rosedale Blueberry Farm,39.652561,-74.838787,Hammonton,1,Atlantic County,8037,,
Sandbrook Meadow Farm,40.454909,-74.922593,Stockton,19,Hunterdon County,8559,,
Savoie Organic Farm,39.682886,-74.948286,Williamstown,15,Gloucester County,8094,,
School Lunch Organic Farm,40.860869,-74.780905,Hackettstown,27,Morris County,7840,,
Silver Bell Farms,39.645118,-75.119005,Franklinville,15,Gloucester County,8322,,
Snapping Turtle Farm,40.323871,-74.552222,Cranbury,23,Middlesex County,8512,,
Snyder Research Farm,40.55748,-74.960372,Pittstown,19,Hunterdon County,8867,,
Stephens Farm,41.285943,-74.551202,Sussex,37,Sussex County,7461,,
Stockton Village Farm,40.423427,-74.96871,Stockton,19,Hunterdon County,8559,,
Stone Hill Farm,40.311388,-74.16476,Colts Neck,25,Monmouth County,7722,,
Suan Farma,40.924634,-74.117224,Fair Lawn,,,,,
Summer Wind Farms LLC,39.581154,-74.934045,Newfield,15,Gloucester County,,,
Summit City Farms,39.708503,-75.133138,Glassboro,,,8028,,
The Alhambra Organic Farm,39.744444,-74.882361,Atco,7,Camden County,8004,,
the farm at Glenwood Mountain,41.246759,-74.500115,Sussex,37,Sussex County,7461,,
Three Sisters Farm,41.038033,-74.765816,Stanhope,37,Sussex County,7825,,
Vannini Farms Inc.,39.504555,-74.939473,Vineland,1,Atlantic County,,,
Verde Farms LLC,39.741031,-75.410983,Pedricktown,33,Salem County,1801,,
Windsong Farm LLC,40.598257,-74.517686,Warren,35,Somerset County,7059,,
Woodstock Farms,40.496387,-74.385164,Edison,23,Middlesex County,8817,,
Zeng Farm,40.477965,-74.828658,Flemington,19,Hunterdon County,8822,,
